address_id,atm.address1,atm.suburb,atm.state,atm.postcode,atm.latitude,atm.longitude,address
53,57 Florence Street,Mentone,VIC,3194,-37.9827424,145.0642427,57 Florence Street Mentone VIC 3194
54,293 Spring Street,Reservoir,VIC,3073,-37.715886,145.00685,293 Spring Street Reservoir VIC 3073
55,536 Queensberry Street,North Melbourne,VIC,3051,-37.80286,144.949406,536 Queensberry Street North Melbourne VIC 3051
56,2 Eaton Street,Oakleigh,VIC,3166,-37.8987946,145.0905656,2 Eaton Street Oakleigh VIC 3166
57,165-167 Hare Street,Echuca,VIC,3564,-36.1269878,144.7492774,165-167 Hare Street Echuca VIC 3564
58,87-89 Separation Street,North Geelong,VIC,3215,-38.110797,144.3422348,87-89 Separation Street North Geelong VIC 3215
59,191 Pakington Street,Geelong West,VIC,3218,-38.142585,144.347931,191 Pakington Street Geelong West VIC 3218
60,54 High Street,Hastings,VIC,3915,-38.307648,145.1911573,54 High Street Hastings VIC 3915
61,1001 Sturt Street,Ballarat,VIC,3350,-37.5607672,143.8456968,1001 Sturt Street Ballarat VIC 3350
62,"Lilydale Marketplace, 33 Hutchinson Street",Lilydale,VIC,3140,-37.759782,145.348799,"Lilydale Marketplace, 33 Hutchinson Street Lilydale VIC 3140"
63,1223A Howitt Street,Wendouree,VIC,3355,-37.5399767,143.828626,1223A Howitt Street Wendouree VIC 3355
64,566 Burke Road,Camberwell,VIC,3124,-37.8308659,145.0568134,566 Burke Road Camberwell VIC 3124
65,102-106 Main Street,Pakenham,VIC,3810,-38.0775275,145.4817101,102-106 Main Street Pakenham VIC 3810
66,19 Victoria Street,Warragul,VIC,3820,-38.162449,145.9306764,19 Victoria Street Warragul VIC 3820
67,140 Koroit St,Warrnambool,VIC,3280,-38.3818558,142.4821281,140 Koroit St Warrnambool VIC 3280
68,231 Bay Street,Port Melbourne,VIC,3207,-37.838249,144.942571,231 Bay Street Port Melbourne VIC 3207
69,28 Hartnett Drive,Seaford,VIC,3198,-38.1136623,145.141286,28 Hartnett Drive Seaford VIC 3198
